raw_substance,confidence,reason
"Microcrystalline cellulose, Lactose monohydrate, Magnesium Stearate (non-bovine)",0.7,"These are inactive excipients, not an active substance."
"Microcrystalline cellulose, Native corn starch, Citric acid anhydrous (E330)",0.7,"This is a list of excipients (inactive ingredients), not an active substance, so it should be marked as not naming a substance for active-substance purposes."
"Microcrystalline cellulose, Sodium Caprate",0.75,"These are excipients (microcrystalline cellulose and sodium caprate), not an active substance; none of the candidates match the combination either."
"Microcrystalline cellulose, corn starch
Coating: copolymer of methacrylic acid and methyl acrylate, polysorbate 80, sodium lauryl sulfate, talc and triethyl citrate",0.85,"This lists excipients/coating materials, not an active substance."
"Microcrystalline cellulose, lactose monohydrate, magnesium stearate, colloidal anhydrous silica.
Coating: similar color to the reference, type Opadry HP II (assumption: Opadry white HP 85F18422)",0.75,"This lists inactive excipients/coating materials, not an active substance."
"Microcrystalline cellulose, magnesium stearate",0.75,"These are excipients, not active substances; the string names inactive ingredients rather than the active substance."
Multiple IMPs,0.85,"'Multiple IMPs' is a study-arm/label indicating multiple investigational products, not a specific substance."
NS-229 matching tablets with no active treatment,0.9,"This describes a placebo (matching tablets with no active treatment), not a substance."
Negative Control PRICK TEST LETI,0.7,"Negative control for prick testing is typically diluent/saline control, not an active substance; none of the candidates match."
No INN,0.9,"'No INN' is a placeholder indicating no assigned name, not a substance."
No INN assigned yet,0.9,"'No INN assigned yet' is a placeholder, not a substance name."
No INN at this time,0.9,"Placeholder text indicating no INN assigned, not a substance name."
No INN has been allocated,0.9,"'No INN has been allocated' is a placeholder statement, not a substance name."
No INN or proposed INN available,0.9,"This string is a placeholder indicating no INN is available, not an actual substance name."
No aplica,0.98,"'No aplica' means 'Not applicable' in Spanish, a placeholder, not a substance."
No aplicable,0.98,"'No aplicable' means 'Not applicable' in Spanish, a placeholder, not a substance."
No asignado todava,0.97,"'No asignado todava' is Spanish for 'Not yet assigned', a placeholder, not a substance."
No disponible todava,0.97,"'No disponible todavía' means 'Not yet available' - a placeholder, not a substance."
No pharmaceutically active ingredients,0.95,"States no active ingredients, so it names no substance."
No tiene,0.95,"'No tiene' means 'does not have/none' in Spanish, a placeholder indicating no substance specified, not a substance name."
Non,0.8,"'Non' is a fragment, not a substance name."
Non ancora assegnata,0.95,"'Non ancora assegnata' is Italian for 'not yet assigned', a placeholder, not a substance name."
Non ancora assegnato,0.95,"'Non ancora assegnato' is Italian for 'not yet assigned', a placeholder, not a substance."
Non ancora disponibile,0.95,"'Non ancora disponibile' is Italian for 'not yet available', a placeholder, not a substance name."
Non applicable,0.97,"'Non applicable' is a placeholder, not a substance name."
Non as of yet,0.95,"'Non as of yet' is a placeholder meaning not yet assigned, not a substance."
Non established,0.9,"'Non established' is a placeholder indicating no substance has been assigned, not an actual substance name."
None Available,0.9,"'None Available' is a placeholder indicating no substance data, not an actual substance name."
None as of yet,0.95,"'None as of yet' is a placeholder indicating no substance assigned, not a substance name."
None assigned,0.95,"'None assigned' is a placeholder, not a substance name."
None at this time,0.95,"'None at this time' is a placeholder, not a substance name."
None available,0.9,"'None available' is a placeholder, not a substance name."
None because of Extract,0.7,"'None because of Extract' appears to be a placeholder/non-substance string, not a real drug name."
None registered,0.9,"'None registered' is a placeholder, not a substance name."
None yet,0.9,"'None yet' is a placeholder indicating no substance assigned, not an actual substance name."
Not Aplicable,0.98,"'Not Applicable' is a placeholder, not a substance name."
Not Applied for,0.95,"'Not Applied for' is a placeholder, not a substance name."
Not Yet Known,0.97,"Placeholder text indicating substance not yet known, not an actual substance name."
Not Yet defined,0.97,"Placeholder text, not a substance name."
Not allocated,0.95,"'Not allocated' is a placeholder, not a substance name."
Not answered,0.97,"'Not answered' is a placeholder, not a substance name."
Not appl,0.97,'Not appl' is a placeholder (likely 'Not applicable') and names no substance.
Not applied,0.95,"'Not applied' is a placeholder, not a substance name."
Not applied for as yet,0.95,Placeholder text indicating no substance has been assigned yet.
Not assinged yet,0.97,Placeholder text 'Not assigned yet' names no substance.
Not availab.,0.95,"'Not availab' is a placeholder indicating missing data, not a substance name."
Not availaible yet,0.97,"Placeholder text indicating substance not yet assigned, not an actual substance name."
Not availbale,0.95,"'Not availbale' is a placeholder indicating no substance was provided, not an actual substance name."
Not availble yet,0.95,"Placeholder text indicating no substance information yet, not an actual substance name."
Not avaliable,0.95,Placeholder text indicating no substance information provided.
Not estabilished,0.95,"'Not estabilished' is a placeholder indicating the substance is not yet defined, not an actual substance name."
Not know yet,0.95,"'Not know yet' is a placeholder indicating no assigned substance, not an actual substance name."
Not requested,0.95,"'Not requested' is a placeholder, not a substance name."
Not the same excipients as Test,0.95,"This string describes a study-arm/comparator note about excipients, not a substance."
Not the same excipients as test,0.9,"This string describes a study/trial control note about excipients, not an actual substance."
Not yed defined,0.95,"Placeholder text meaning 'not yet defined', not a substance."
Not yet applied for,0.95,"'Not yet applied for' is a placeholder, not a substance name."
Not yet asigned,0.95,"'Not yet asigned' is a placeholder, not a substance name."
Not yet attributed,0.97,"Placeholder text indicating no substance assigned yet, not an actual substance."
Not yet defined,0.97,"'Not yet defined' is a placeholder, not a substance name."
Not yet proposed,0.95,"Placeholder text, not a substance name"
Not yet received,0.97,"'Not yet received' is a placeholder, not a substance name."
Not yet requested,0.95,"'Not yet requested' is a placeholder, not a substance name."
OTHER ANTINEOPLASTIC AGENTS,0.85,"This is a drug class/category label, not a specific substance."
OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,0.9,"This is a drug class/category description, not a specific substance."
OTHER HEMATOLOGICAL AGENTS,0.85,"This is a drug class/category label, not a specific substance name."
OTHER NERVOUS SYSTEM DRUGS,0.85,"This is a generic drug class label, not a specific substance."
OTHER NUTRIENTS,0.85,"'OTHER NUTRIENTS' is a generic category label, not a specific substance."
OTHER SOURCES,0.95,"'OTHER SOURCES' is not a substance name; it appears to be a category label, not a drug."
"Opaque white cap, Size 1)",0.95,"This describes a capsule appearance, not a substance."
Orodispersible tablet,0.95,"This describes only a dosage form, not a substance."
Other antiepileptics,0.9,"This is a drug class descriptor, not a specific substance."
Other antineoplastic agents,0.85,"This is a drug class category label, not a specific substance."
Other chemotherapeutics,0.85,"This is a category label ('Other chemotherapeutics'), not a specific substance, and does not match Salmeterol."
Other dermatologicals,0.9,"This is a drug classification category, not a specific substance."
Other drugs for disorders of the musculo-skeletal system,0.9,"This is a generic drug classification category, not a specific substance."
Other hematological Agents,0.85,"'Other hematological Agents' is a drug class label, not a specific substance, and doesn't match Salmeterol."
Other nervous system drugs,0.85,"This is a drug classification category, not a specific substance name."
"Other preparations, combinations",0.85,"This is a generic category label, not a specific substance name."
P-Tabletten weiß 10 mm Lichtenstein,0.5,"'P-Tabletten weiß 10 mm Lichtenstein' appears to be a placebo/generic tablet description without identifiable active substance, not matching carglumic acid."
PBO PH20 SC,0.6,"PBO denotes placebo (no active substance), despite referencing PH20/hyaluronidase formulation context."
PBS Solution,0.8,"PBS (phosphate-buffered saline) solution is a vehicle/buffer, not an active substance."
PCa,0.5,"'PCa' likely refers to prostate cancer (indication) rather than a substance name, not matching any candidate."
PENDING,0.9,"'PENDING' is a placeholder indicating no substance has been assigned, not an actual substance name."
"PL1 Oral powder in sachet, oral use",0.75,"'PL1 Oral powder in sachet, oral use' describes a dosage form/formulation label, not an identifiable substance matching Deferiprone."
"PL2 : caspule for oral use composed of cornstarch, colloidal anhydrous silica, cochineal carmine, dbcaps size aa elongated capsule",0.7,"This describes a placebo capsule formulation (excipients only, cornstarch, silica, coloring), not an active pharmaceutical substance."
"PSICCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",0.9,"This is a drug class description, not a specific substance."
"PTM
50",0.6,'PTM 50' does not clearly identify any substance name; appears to be a code/placeholder rather than a recognizable drug name.
PVDC transparente con aluminio anónimo.,0.9,"This describes packaging material (transparent PVDC with aluminum foil), not a substance."
Pacebo to Keytruda: Normal saline or dextrose,0.6,"This describes a placebo (saline or dextrose) used as comparator to Keytruda, not naming a specific active substance actually administered as investigational product."
Pending,0.9,"'Pending' is a placeholder, not a substance name."
Personalized Tissue Engineered Vein,0.85,"This is a tissue-engineered medical device/tissue construct, not a pharmaceutical substance."
Pharmaceutical Form: Film-coated tablet,0.95,"This is dosage form language, not a substance name."
Phosphate buffered saline for SC administration,0.7,"This is a buffer/vehicle solution, not an active substance."
Placebo_ solution for infusion_ not active substance,0.9,"Explicitly labeled as placebo/not active substance, so it names no active substance."
Placebotablet 10mm,0.85,Placebo tablet is not an active substance; it's a comparator/dummy treatment.
Please see attached files,0.97,"This is a placeholder referencing attached documents, not a substance name."
Powder for reconstitution for enteral administration,0.7,"This describes only a dosage form/preparation instruction, not a named substance."
Powder without active ingredient.,0.95,"Explicitly states no active ingredient; this is a placebo/vehicle, not a substance."
RELEASE OF UNLABELLED BULK IMP FOR ESR; Product (strength,0.9,"This is placeholder/administrative text about IMP release, not a substance name."
ROCK_PD_high_dose,0.85,"This looks like a study-arm/dosing-group label ('ROCK_PD high dose'), not a substance name."
ROCK_PD_low_dose,0.8,"'ROCK_PD_low_dose' appears to be a study arm/code label, not a substance name."
Read Heart Pill version 2b,0.7,"This appears to be a placeholder/study product name, not an actual substance name."
"Roßlau 

Testing site(s) : Merz Pharma GmbH & Co. KGaA, Werk Dessau, Am 
Pharmapark, D-06861 Dessau",0.85,"This is a testing site address, not a substance name."
"Same as test product, without activa substance",0.9,"This describes a placebo/control matching test product without active substance, not a substance itself."
Same composition than TEST PRODUCT (16 mg candesartan) but with no active substance,0.85,"This describes a placebo ('no active substance') matching a candesartan product's composition, so it names no actual substance."
"Same form and composition of the drug, except for the active ingredient.",0.95,"This describes a placebo/comparator formulation, not a specific substance."
Same solution and presentation that active treatment but without active ingredients,0.95,"This describes a placebo (no active ingredient), not a substance."
Same solution and presentation that active treatment but without active ingredients.,0.95,"This describes a placebo (vehicle without active ingredients), not a substance."
Same solution as for GL0034 without drug substance; solution for subcutaneous injection; volume identical to dose of test product,0.85,"This describes a placebo/vehicle solution without drug substance, not a substance itself."
See Section D.3.9.6,0.95,"Reference to a form section, not a substance name."
See below section D.3.9.6,0.95,"This is a placeholder referencing another section, not a substance name."
See section D.3.6.9,0.9,"This is a placeholder referencing another section, not a substance name."
See section D.3.9.6,0.95,"This is a placeholder referencing another section, not a substance name."
Sham Injection Procedure,0.95,"Sham injection is a control procedure, not a substance."
Sham injection,0.97,"'Sham injection' refers to a placebo/control procedure, not a substance."
"Sham injection, intravitreal use, mimic OPT-302 injection",0.9,"Sham injection is a placebo/control procedure, not a substance."
Shock Waves Biotripter,0.9,"'Shock Waves Biotripter' refers to a shockwave therapy device, not a pharmaceutical substance."
Skin autograft,0.85,"Skin autograft is a tissue graft, not a pharmaceutical substance."
"Soluprick Negative control, Solution for skin prick test",0.85,"Negative control skin prick solution is a diluent/vehicle control, not an active substance."
Solution for injection with no active substance,0.97,"Explicitly states no active substance, placebo-like description."
Solvent for dilution for BI 3720931 inhaler solution,0.85,"This is a solvent/diluent for reconstitution, not the active substance BI 3720931 itself."
"Sprühstoß Nasenspray, Suspension Zur Anwendung bei Erwachsenen",0.85,"This describes a nasal spray dosage form/administration instructions, not a named active substance."
"Sprühstoß Spray zur Anwendung in der Mundhöhle, Lösung",0.85,"This is dosage form/administration description only ('spray for use in the oral cavity, solution'), not a substance name."
"Sterile Water For Injection, 0.92 mL (Prefilled Syringe)",0.85,"Sterile water for injection is a diluent/vehicle, not an active substance, and none of the candidates match water."
"Sterile agent for cutaneous application, identical to the composition of the TCP-25 gel, except it will not contain the active pharmaceutical ingredient",0.95,"This describes a placebo vehicle without active ingredient, not a substance itself."
Subcutaneous injection of with no active ingredient contained,0.95,Placebo/no active ingredient injection - not a substance.
Suspension and solvent for suspension for injection,0.9,"This is a dosage form description only, not a substance name."
SyrSpend SF,0.9,"SyrSpend SF is a compounding vehicle/suspension excipient, not an active substance."
SyrsSpend SF pH 4,0.75,"SyrSpend SF pH4 is an oral suspension vehicle/compounding base, not an active substance."
TAR-0520 gel matching vehicle without active ingredients,0.9,"This is a vehicle/placebo control without active ingredients, not a substance."
TBC,0.85,"'TBC' is a placeholder abbreviation (to be confirmed), not a substance name."
Tablet without active substance,0.95,Placebo tablet with no active substance; not a real substance.
"Tablet, identical in appearance to ninerafaxstat tablets",0.75,"This describes a placebo tablet matching the appearance of ninerafaxstat tablets, not the active substance itself."
"Tablets are oval, biconvex, plain and white to off white",0.95,"This describes tablet appearance, not a substance name."
"Tablets are round, biconvex, plain and white to off white",0.95,"This is a physical description of tablet appearance, not a substance name."
"Tablets identical to ""Test"" in appearance and taste but containing no active ingredient",0.97,"Describes a placebo tablet with no active ingredient, not a substance."
Tablette,0.9,"'Tablette' is German for 'tablet', a dosage form, not a substance name."
Tampon actate salin,0.6,"Saline acetate tampon appears to be a device/control material, not a matching substance."
Test IMP (ALE.F02) without active substance,0.9,"Explicitly labeled 'without active substance' - a placebo/vehicle, not an actual substance."
Test IMP (EDG-5506) without active substance,0.75,"String explicitly states 'without active substance', indicating this is a placebo/control arm labeled with the investigational code, not an actual substance."
Test IMP (PHA-022121) without active substance,0.85,"String explicitly states 'without active substance', indicating placebo/no active substance, not a real drug match."
Test IMP ALPN-303 pre-filled syringe without active substance,0.95,"Explicitly stated as 'without active substance' - a placebo/control device, not a substance."
Test IMP without active substance,0.97,"Explicitly states no active substance; this is a placebo/test IMP designation, not a substance."
Test Solution 1,0.8,"'Test Solution 1' is a generic placeholder label, not a named substance."
Test de provocación nasal,0.85,"'Test de provocación nasal' means 'nasal challenge test' - a procedure/study arm label, not a substance itself."
The same as active product,0.9,"This phrase is a placeholder referring to an unspecified comparator, not naming any actual substance."
There is no recommended INN,0.9,"This string is a placeholder/note indicating no INN exists, not an actual substance name."
There is no recommended INN.,0.9,"This is a placeholder phrase indicating no INN exists, not a substance name itself."
There is no recommended International Non-proprietary Name,0.8,"This is a placeholder statement, not a substance name."
There is no recommended International Nonproprietary Name INN,0.9,"This is a placeholder statement about lack of INN, not a substance name itself."
This is provided by the product owner,0.9,"Placeholder text, not a substance name"
This will be provided by the product owner,0.95,"Placeholder text, not an actual substance name."
To be required,0.95,"'To be required' is a placeholder, not a substance name."
Twinings Earl Grey black tea,0.9,"Earl Grey black tea is a beverage, not a substance or listed candidate."
Twinings Java Green tea,0.7,"This is a consumer tea product, not a clinical trial drug substance; no matching candidate."
USAN,0.85,"'USAN' refers to the United States Adopted Names naming system, not a substance itself."
UX Diluent and Flush Solution,0.75,"This is a diluent/flush solution, not an active substance."
Undetermined,0.95,"'Undetermined' is a placeholder, not a substance name."
Vehicle,0.95,"'Vehicle' refers to a control/placebo carrier, not an actual substance."
"Vehicle (control) is similar to SYD-101, except that it does not contain active drug.",0.9,"This describes an inactive vehicle/control, not a substance."
Vehicle Cream: Same formulation of cream as the Test product but without active substance.,0.97,"This is a vehicle control cream with no active substance, not a substance name."
Vehicle Gel,0.9,"'Vehicle Gel' refers to a placebo/vehicle control formulation, not an active substance."
Vehicle cream (same formulation of cream as the test product but without active substance and the phosphoric acid),0.9,"This describes a vehicle/placebo control cream without active substance, not a substance itself."
Vehicle cream (same formulation of cream as the test product but without active substance),0.97,"This is a placebo/vehicle control, not an active substance."
Vehicle cream: same formulation of cream as the test product but without active substance and phosphoric acid,0.85,"This is a vehicle control (placebo cream) without active substance, an inactive comparator arm, not a substance."
Vehicle cream: same formulation of cream as the test product but without active substance.,0.97,"This describes a vehicle/placebo control without active substance, not a substance itself."
Vehicle solution,0.9,"'Vehicle solution' is a placebo/vehicle control, not an active substance."
Vehicle to Clindamycin Tretinoin Gel,0.85,"'Vehicle to' indicates this is a placebo/vehicle control, not an active substance."
Vehicle to Mecloderm Ointment,0.85,"This refers to a vehicle/placebo control formulation, not an active substance."
Vehicle to Methylprednisolone Aceponate Cream,0.85,"'Vehicle to X' denotes the inactive vehicle/placebo control, not the actual substance."
Vehicle to Methylprednisolone Aceponate Ointment,0.75,"'Vehicle to X' denotes the placebo/vehicle control, not the active substance itself."
Vehicle to TOP-N53,0.85,"'Vehicle to TOP-N53' is a placebo/vehicle control for a study drug, not a substance itself."
Vehicle to Test Product,0.95,"Vehicle to Test Product is a placebo/vehicle control descriptor, not a substance."
Verum 1,0.85,"'Verum 1' is a study-arm label meaning 'active treatment 1', not a substance name."
Vessel,0.7,"'Vessel' appears to be a brand name fragment or unrelated term, not clearly identifiable as sulodexide or any substance without more context."
Visual match to product,0.9,"'Visual match to product' is a study procedure description, not a substance name."
White opaque capsule filled with a white to off- white powder,0.9,"This describes a dosage form/appearance, not a substance."
"White opaque capsules, size 1",0.9,"Describes capsule appearance/dosage form, not an active substance."
"White opaque, hard hypromellose capsule, size 3 containing same excipients as TAK-279 active capsule",0.9,This describes a placebo capsule (matching excipients) rather than an active substance.
"White, flat round, uncoated tablet. Diameter 9 mm.",0.95,"This describes tablet appearance, not a substance name."
"White, round, convex tablets with a diameter of 8 mm containing no active pharmaceutical ingredient. The composition (per 1000 tablets) includes lactose monohydrate (85 g), potato starch (86 g), gelatin A (3 g), purified water (72 g) and magnesium stearate (0.9 g), talc (8.1 g).",0.95,This describes a placebo tablet with no active pharmaceutical ingredient; excipients are not substances of interest.
"White, round, plain, biconvex film-coated tablet. 
Matching 4.45 mg tablet is 3.7 mm in diameter.",0.85,This is just a physical tablet description with no substance name given.
"White, round, plain, biconvex film-coated tablet. matching 17.8 mg tablet is 7.5 mm in diameter.",0.8,"This describes a tablet's physical appearance/dosage form, not a substance name."
X-vivo 15 (serum-free growth medium manufactured under gmp and commercially available from Lonza),0.85,"X-vivo 15 is a cell culture growth medium, not a pharmaceutical substance."
alu blisters.,0.95,"'alu blisters' refers to aluminum blister packaging, a device/packaging term, not a substance."
"annos inhalaatiosumute, suspensio",0.75,"This is a Finnish dosage form description ('dose inhalation spray, suspension') with no substance named."
applied for but not yet approved,0.95,"Placeholder text, not a substance name."
black hard gelatin capsule shell size 0.).,0.9,"Describes a capsule shell component/formulation, not an active substance."
buccale en flacon pressurisé,0.85,"This describes a dosage form/route ('buccal, pressurized bottle'), not a substance name."
"c1-1928-6-9-21425-15-16-26-2210-7-17-2725,26512-13-23-18-242814-11-20233",0.8,"This appears to be a garbled code/identifier string, not a recognizable substance name."
"caps) filled into hard 
gelatin capsules.",0.85,"This is dosage form/formulation description text, not a substance name."
"centrally blinded product containing all the same manufactured ingredients and excipients as the DM199 formulation, except for the active pharmaceutical ingredient (API).",0.9,"This describes a placebo/blinded comparator lacking active ingredient, not a substance."
cf DME,0.6,'cf DME' does not clearly name any substance; likely an abbreviation or code unrelated to the list.
comfeel-plus-transparent-da-dk.aspx#section=product-description_3,0.9,"This is a URL to a wound dressing product page (Comfeel Plus Transparent), a medical device, not a substance."
day),0.9,"'day)' is a text fragment from dosage instructions, not a substance name."
"devā aerosols lietošanai zem mēles, šķīdums",0.6,"The string only describes dosage form (sublingual spray/solution per dose) in Latvian, with no actual substance or brand name given."
diluent,0.9,"'Diluent' refers to the inactive solvent used to dilute a product, not an active substance."
do infuzji,0.95,"'do infuzji' is Polish for 'for infusion', a dosage phrase not a substance name."
"dos nässpray, lösning",0.7,"'dos nässpray, lösning' is just a dosage/form description (nasal spray, solution) with no substance name given."
"dos nässpray, suspension",0.75,"'dos nässpray, suspension' describes dosage form (dose nasal spray, suspension), not a substance name; no match to docusate sodium."
"dose, gel transdermique",0.7,String only describes dosage form ('gel transdermique') without naming an active substance.
"dose, poudre pour inhalation en récipient unidose",0.9,"This is only dosage form language (powder for inhalation in single-dose container), no substance named."
"dose, solution pour pulvérisation nasale",0.7,"This is only dosage form language ('dose, solution for nasal spray') with no substance name given."
dosis liberada polvo para inhalación (cápsula dura),0.8,"This is only dosage form description ('released dose powder for inhalation, hard capsule'), not a substance name."
dosis polvo para inhalación,0.85,"Phrase means 'dose powder for inhalation' - a dosage form description, not a substance name."
dosis suspensión para inhalación en envase a presión,0.9,"This is generic dosage form language (pressurized inhalation suspension), not a substance name."
"dosis, spray voor transdermaal gebruik, oplossing",0.85,"This describes dosage form/route only ('dose, spray for transdermal use, solution') with no substance named."
día (6 pulverizaciones ) vía intranasa,0.9,"This is dosage instruction text ('per day, 6 sprays, intranasal route'), not a substance name."
encapsulated tablets of inactive substance,0.9,"'Inactive substance' describes a placebo/control, not an actual active drug substance."
"exact match to the active tablets in size, color and marking without the active ingredient d-methadone HCl",0.7,This describes a placebo tablet explicitly lacking the active ingredient (d-methadone HCl); it names a placebo/comparator description rather than an administered substance.
film-coated tablets for oral administration,0.9,"This is only a dosage form description, not a substance name."
"fiolkę, proszek do sporządzania roztworu do wstrzykiwań",0.9,"This is Polish for 'vial, powder for solution for injection' - a dosage form description, not a substance name."
g Creme,0.9,"'g Creme' is a dosage/form fragment (grams cream), not a substance name."
g Shampoo,0.7,"'g Shampoo' is dosage/unit language, not a substance name."
g crema,0.85,"'g crema' is just dosage/formulation language ('grams cream'), not a substance name."
g creme,0.85,"'g creme' is just a dosage form/unit fragment (grams cream), not a substance name."
g crme,0.85,"'g crme' is dosage/form language (grams, cream), not a substance name."
g cutaneous emulsion,0.7,"This is dosage/form language ('g cutaneous emulsion'), not a substance name."
g eye gel,0.8,"'g eye gel' is a dosage form fragment, not a substance name."
g kräm,0.8,'g kräm' appears to be a fragment of dosage form text (gram cream) with no identifiable substance name.
g sans la substance active. Il est produit et fourni par le même producteur que le Klisyri.,0.85,"This describes a placebo without active substance, referencing Klisyri manufacturer - not a substance name itself."
"g, crme",0.7,"'g, crme' appears to be dosage/formulation text (grams, cream) with no substance name, not a match to either candidate."
"g, crème",0.85,"'g, crème' is just dosage/formulation text (grams, cream), not a substance name."
"g, żel",0.8,"'g, żel' is a fragment of dosage form (grams, gel), not a substance name."
"identical tablets containing Lactose Monohydrate Fast-F lo, Cellulose Microcrystalline PH-102, Croscarmellose Sodium, Colloidal Silicon Dioxide-Cabot, and Magnesium Stearate 5712.",0.7,"This describes a placebo/tablet excipient formulation (lactose, cellulose, croscarmellose, silica, magnesium stearate) with no active substance identified; it's not naming a drug substance itself."
inert tablets identical with metolazone,0.6,"This describes an inert placebo tablet matching metolazone's appearance, not the active substance itself."
infusie in een voorgevulde spuit,0.9,"'infusie in een voorgevulde spuit' is Dutch for 'infusion in a pre-filled syringe', a dosage form description, not a substance name."
"infusionsvätska, lösning",0.95,"'infusionsvätska, lösning' is Swedish for 'solution for infusion' - a dosage form descriptor, not a substance name."
"infusionsvätska, lösning.",0.95,"This is just Swedish dosage form language meaning 'solution for infusion', not a substance name."
"infusionsvæske, opløsning",0.95,"Danish for 'solution for infusion' - dosage form language only, not a substance name."
infusioonilahuse pulber,0.85,"This is Estonian for 'powder for solution for infusion' - a dosage form description, not a substance name."
"infusjonsvæske, emulsjon",0.7,"This is just a Norwegian dosage form description ('infusion fluid, emulsion') with no substance name given."
"infusjonsvæske, oppløsning",0.9,"This is just a dosage form description ('infusion solution' in Norwegian), not a substance name."
"infuusiokonsentraatti, liuosta varten",0.9,"This is Finnish for 'concentrate for solution for infusion', a dosage form description, not a substance name."
infuusiokuiva-aine liuosta varten,0.9,"This is Finnish for 'powder for solution for infusion' - a dosage form description only, not a substance name."
"infuusiokuiva-aine, liuosta",0.95,"This is Finnish for 'powder for solution for infusion' - a dosage form description, not a substance name."
"infuusiokuiva-aine, liuosta varten",0.9,"This is Finnish for 'powder for solution for infusion' - dosage form language, not a substance name."
infuziju,0.9,"'infuziju' is just the word 'infusion' in a Slavic language, not a substance name."
infuzji,0.95,"'infuzji' is Polish for 'infusion', a dosage form term, not a substance name."
infuzní roztok,0.95,"'infuzní roztok' is Czech for 'infusion solution' — a dosage form description, not a substance name."
infúzió,0.9,"'infúzió' is Hungarian for 'infusion', a dosage form word, not a substance name."
infúzióhoz,0.9,"'infúzióhoz' is Hungarian for 'for infusion', a dosage form descriptor, not a substance name."
infūziju šķīduma pagatavošanai,0.9,"'infūziju šķīduma pagatavošanai' is Latvian for 'for preparation of infusion solution' - dosage form language only, not a substance."
inhalación polvo para inhalación,0.9,"'inhalación polvo para inhalación' just describes dosage form (inhalation powder), not a specific substance."
inhalación polvo para inhalación.,0.9,"This string only describes dosage form ('inhalation, powder for inhalation') with no substance name."
inhalación suspensión para inhalación en envase a presión,0.9,"This is just dosage form language (pressurized inhalation suspension), not a substance name."
inhalación suspensión para inhalación en envase a presión* (*) sin CFC,0.8,"This is generic dosage form language describing a pressurized inhalation suspension without CFC, not naming any specific substance."
"inhalación, polvo para inhalación",0.9,"This is just dosage form language ('inhalation, powder for inhalation'), not a substance name."
"inhalación, polvo para inhalación.",0.9,"This string only describes a dosage form ('inhalation, powder for inhalation') with no substance name."
"inhalación, suspensión para inhalación en envase a presión",0.9,"This is dosage form language only ('inhalation, suspension for inhalation in pressurized container'), not naming a substance."
"injektionsvæske, opløsning",0.95,"This is a Danish dosage form phrase meaning 'solution for injection', not a substance name."
kg prep,0.6,"'kg prep' appears to be dosage/preparation language, not a substance name."
"l de protena total, de las cuales al",0.85,"This is a fragment of descriptive text about total protein content, not a substance name."
"l infusionsvätska, lösning",0.9,"This is just dosage form language ('infusion solution'), not a substance name."
l solución para perfusión.,0.95,"This is just dosage form language ('solution for infusion'), not a substance name."
"l,
Infusionslösung zur intravenösen Anwendung",0.75,"This is dosage form language only ('solution for infusion for intravenous use'), not a substance name."
"l, soluzione per infusione""",0.85,"This fragment is just dosage form language ('soluzione per infusione' = solution for infusion), not a substance name."
liquid dosage form in 20 mL vials with 11 extractable volume,0.9,"This describes dosage form/packaging only, no substance named."
mL  solution for injection in pre -filled pen,0.9,"This is dosage form language only, no substance named."
mL Eye Drop Solution,0.9,"Dosage form description only, no substance named"
"mL Eye drops, solution",0.95,"This is dosage form language only, not a substance name."
"mL SANS CONSERVATEUR, Solution injectable",0.85,"This is dosage/form language ('mL without preservative, solution for injection'), not a substance name."
"mL SANS CONSERVATEUR, solution injectable",0.85,"This is dosage/formulation language ('mL without preservative, solution for injection'), not a substance name."
"mL collirio, soluzione",0.9,"This is dosage form language ('mL eye drops, solution' in Italian), not a substance name."
mL concentrado para solución para perfusión EFG.,0.95,"This is only dosage form language ('mL concentrate for solution for infusion, generic'), not a substance name."
"mL eye drops, emulsion",0.95,"This is dosage form language, not a substance name."
"mL eye drops, suspension",0.95,"This is dosage/form language only, not a substance name."
mL free base equivalent,0.85,"This is a dosage description phrase, not a substance name."
mL gas and solvent for dispersion for injection,0.9,"This is a dosage-form description only, not a specific substance name."
mL in citrate-based saline,0.7,"This describes a dosage vehicle/formulation, not an active substance."
mL powder and solvent for dispersion for injection,0.95,"This is dosage form language only, not a substance name."
"mL precursor radiofarmacêutico, solução",0.85,"This describes a radiopharmaceutical precursor solution volume, not a specific substance name."
mL prep,0.9,"'mL prep' is dosage language, not a substance name."
mL solución inyectable EFG,0.95,"This is dosage/form language only ('mL solución inyectable EFG'), not a substance name."
mL solution for injection in pre-filled pen,0.9,"This is dosage form language only, not a substance name."
mL soluzione cutanea,0.95,"'mL soluzione cutanea' is dosage form language (mL cutaneous solution), not a substance name."
"mL, 5 mL Drug Product",0.9,"This is dosage/volume language ('mL, 5 mL Drug Product'), not a substance name."
"mL, ADI delivery unit",0.85,"'mL, ADI delivery unit' is dosage/device language, not a substance name."
"mL, koncentrat do sporządzania roztworu do infuzji",0.95,"This is dosage form language only ('mL, concentrate for solution for infusion'), not a substance name."
"mL, koncentrat do sporządzania roztworu do wstrzykiwań",0.95,"This is just dosage form language (concentrate for solution for injection), not a substance name."
"mL, poudre et solvant pour solution pour perfusion",0.95,"This is just dosage form/formulation language (powder and solvent for solution for infusion), not a substance name."
"mL, roztwór do wstrzykiwań",0.95,"This is dosage form language ('mL, solution for injection' in Polish), not a substance name."
