raw_substance,entity_id,confidence,channel,reason,decided_by,decided_at_utc,model_id,prompt_version
"Atropine Sulfate 0.01% eye drops, solution",ent_001297,1,registry,exact registry match: 'atropine',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
"Atropine Sulfate 0.02% eye drops, solution",ent_001297,1,registry,exact registry match: 'atropine',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
"Atropine Sulfate 0.025% Eye Drops, solution in single-dose container",ent_001297,1,registry,exact registry match: 'atropine',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
"Atropine Sulfate 0.05% Eye Drops, solution in single-dose container",ent_001297,1,registry,exact registry match: 'atropine',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
"Atropinesulfaat Aguettant 0,1 mg",ent_001297,0.9,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Atropini collyrium 0.02%,ent_001297,0.9,token_idf,"Atropini collyrium is atropine eye drops; Atropine sulfate is the standard salt form used in collyrium, matching the parent INN Atropine.",model,2026-08-18T09:19:03Z,claude-sonnet-5,substance-assign-v2
Atropini collyrium 0.04%,ent_001297,0.9,token_idf,"Atropini collyrium refers to atropine eye drops, which is atropine sulfate salt form used ophthalmically; matches Atropine sulfate as parent salt/INN.",model,2026-08-18T09:19:11Z,claude-sonnet-5,substance-assign-v2
Atropinsulfat,ent_001297,0.95,mint,German name for atropine sulfate,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Atropinum sulfuricum trit. D5,ent_001297,1,registry,exact registry match: 'atropinum',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Atrovent,ent_008270,1,registry,exact registry match: 'atrovent',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Attentin 10 mg Tablette,ent_004534,0.9,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
"Attentin 5 mg, Tablette",ent_004534,0.9,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Atuliflapon,ent_001309,1,registry,exact registry match: 'atuliflapon',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Atumelnant 120 mg tablets,ent_001310,1,registry,exact registry match: 'atumelnant',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Atumelnant 20 mg tablets,ent_001310,1,registry,exact registry match: 'atumelnant',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Atumelnant 40 mg tablet,ent_001310,1,registry,exact registry match: 'atumelnant',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Atumelnant 80 mg tablets,ent_001310,1,registry,exact registry match: 'atumelnant',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Augmentin,ent_021134,0.95,mint,All Augmentin brand variants of amoxicillin/clavulanic acid combination,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Augmentin 400 mg,ent_021134,0.95,mint,All Augmentin brand variants of amoxicillin/clavulanic acid combination,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Augmentin 875 mg,ent_021134,0.95,mint,All Augmentin brand variants of amoxicillin/clavulanic acid combination,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
"Augmentin Fruit, 400 mg",ent_021134,0.95,mint,All Augmentin brand variants of amoxicillin/clavulanic acid combination,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Aurase Component B X1 27 Micrograms,ent_017865,0.4,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Aurase Component BX5 135 microgram,ent_017866,0.4,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Aurum,ent_007157,0.85,token_idf,"Aurum is Latin for gold, matching the INN 'Gold' used in some radiopharmaceutical/homeopathic contexts.",model,2026-08-18T09:19:04Z,claude-sonnet-5,substance-assign-v2
Aurum Valeriana Globuli velati,ent_017867,0.5,mint,Homeopathic globules preparation,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Autologous BM-MSC,ent_017898,0.8,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Autologous Bone Marrow Cells,ent_017892,0.75,mint,Unfractionated bone marrow cell preparations,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous Bone Marrow Derived Mononuclear Cells,ent_017894,0.85,mint,All describe bone marrow-derived mononuclear cell preparations,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous Bone Marrow-derived mesenquimal stem cells,ent_017898,0.97,token_idf,Exact match: autologous bone marrow-derived mesenchymal stem cells (misspelled 'mesenquimal').,model,2026-08-21T06:09:12Z,claude-sonnet-5,substance-assign-v2
Autologous CD1c(BDCA-1)+,ent_017872,0.7,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Autologous CD3+ T Cells Expressing BCMA Chimeric Antigen Receptor,ent_007722,0.75,token_idf,"BCMA-targeted CAR T-cell product matches idecabtagene vicleucel, an anti-BCMA CAR-T therapy; other candidates target CD19 or other antigens.",model,2026-08-18T09:19:06Z,claude-sonnet-5,substance-assign-v2
Autologous CD3+ T Cells Expressing CD19 Chimeric Antigen Receptor,ent_017886,0.8,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Autologous CD34+ HSPCs transduced ex vivo with a LVV encoding the hPD-L1 cDNA,ent_017873,0.8,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous CD34+ cells transduced with lentiviral vector encoding the human beta-globin gene,ent_001967,0.6,mint,beta-globin gene LVV CD34+ cells,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous CD34+ cells transduced with the Lentiviral vector containing the human Wiskott Aldrich Sy,ent_006968,0.97,token_idf,Exact match to Wiskott-Aldrich syndrome gene therapy using autologous CD34+ cells with lentiviral vector.,model,2026-08-18T09:19:13Z,claude-sonnet-5,substance-assign-v2
Autologous CD34+ cells transduced with the SIN lentiviral vector encoding the human  globin cDNA,ent_001328,0.55,token_idf,"Both describe autologous CD34+ cells transduced with a lentiviral vector encoding a human globin gene, matching the LentiGlobin/beti-cel construct.",model,2026-08-18T09:19:04Z,claude-sonnet-5,substance-assign-v2
Autologous CD34+ stem cell subset,ent_017874,0.6,mint,Unmodified CD34+ selected cell products,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous CD34+cells transduced with the w1.6_hWASP_WPRE (VSVg) lentiviral vector,ent_006968,0.9,token_idf,WASP gene lentiviral vector transduced autologous CD34+ cells matches the Wiskott-Aldrich syndrome gene therapy description.,model,2026-08-18T09:19:10Z,claude-sonnet-5,substance-assign-v2
Autologous CD34+cells transduced with the w1.6_hWASP_WPRE VSVg lentiviral vector,ent_006968,0.9,token_idf,WASP gene lentiviral transduction of autologous CD34+ cells matches candidate 3 (Wiskott-Aldrich syndrome gene therapy).,model,2026-08-18T09:19:11Z,claude-sonnet-5,substance-assign-v2
Autologous CD4+ and CD8+ T cells expressing a CD19-specific chimeric antigen receptor CAR,ent_017886,0.85,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Autologous Chondrocytes,ent_001332,0.6,token_idf,Generic 'Autologous Chondrocytes' best matches 'Autologous cultured chondrocytes',model,2026-08-18T09:19:06Z,claude-sonnet-5,substance-assign-v2
Autologous DC,ent_017908,0.7,mint,Generic autologous DC product,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous EBV-specific T-cells,ent_017876,0.8,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Autologous Macrophage Cell Product,ent_017915,0.8,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Autologous Mesenchymal Cell Product,ent_017921,0.75,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Autologous Mesenchymal Stem Cells,ent_017922,0.85,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous Muscle Derived Cells AMDC,ent_017939,0.85,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Autologous Platelet Rich Plasma,ent_020181,0.92,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous Progenitor Cells,ent_017936,0.7,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Autologous Tenocyte Implantation,ent_017945,0.8,mint,Autologous cell therapy product consisting of expanded tenocytes,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Autologous Tissue-Engineered Vascular Graft,ent_017947,0.8,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Autologous adipose derived mesenchymal stem cells for diabetic foot ulcers treatment,ent_017882,0.85,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous adipose derived mesenchymal stem cells for scars and cutis laxa syndrome treatment.,ent_017882,0.85,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous adipose derived stromal,ent_017884,0.5,token_idf,"Truncated 'Autologous adipose derived stromal' likely refers to 'stromal cells', matching candidate 3 most closely, though it could also be stromal vascular fraction (1).",model,2026-08-21T06:09:17Z,claude-sonnet-5,substance-assign-v2
Autologous adipose derived stromal cells,ent_017884,0.8,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous adipose-derived mesenchymal stem cells in vitro expanded,ent_017882,0.85,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous adipose-derived stem cells,ent_017883,0.6,mint,Distinct terminology (stem cells vs regenerative cells) kept separate,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Autologous adult bone marrow-derived and unexpanded CD 133+ hematopoietic stem cells collected from peripheral blood,ent_017871,0.75,mint,CD133+ selected autologous stem cells,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous adult mesenchymal stem cells from bone marrow expanded and cryopreserved,ent_017898,0.85,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous blood stem cells,ent_017890,0.8,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous bone marrow adult mononuclear cells not expanded,ent_017894,0.85,mint,All describe bone marrow-derived mononuclear cell preparations,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous bone marrow aspirate concentrate BMAC,ent_017891,0.7,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Autologous bone marrow cells for tissue repair,ent_017892,0.75,mint,Unfractionated bone marrow cell preparations,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous bone marrow-derived cardiopoietic stem cells,ent_017897,0.9,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous cancer stem cell mRNA transfected dendritic cells,ent_017901,0.85,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous cord blood-derived viable nuclear cells 50E6,ent_001331,0.7,token_idf,Autologous cord blood-derived nuclear cells matches best with Autologous cord blood as the closest substance entry.,model,2026-08-18T09:19:05Z,claude-sonnet-5,substance-assign-v2
Autologous dendritic cell vaccine producing interleukin 12,ent_017910,0.8,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous dendritic cells,ent_017908,0.6,mint,Generic unspecified dendritic cell vaccine,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous dendritic cells loaded with autologous tumor RNA,ent_017949,0.7,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous haematopoietic stem and progenitor cell population containing CD34+ cells transduced with a lentiviral vector encoding the TCIRG1 cDNA ex vivo expanded.,ent_017875,0.8,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
"Autologous human CD4+, CD25+, FoxP3+ and polyclonally expanded human naturally occurring regulatory T cells nTreg.",ent_017935,0.7,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Autologous matured Dendritic cells HepG2 pulsed vaccine,ent_017878,0.85,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous mesenchymal stromal cells MSC,ent_017925,0.8,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous mesenchymale stem cell,ent_017921,0.75,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Autologous mesoangioblasts,ent_017926,0.8,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Autologous myoblasts,ent_017940,0.9,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Autologous oral mucosa differentiated adult keratinocytes and fibroblasts|expanded in biological fibrin-agarose matrix,ent_017931,0.8,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous osteogenic cells in ECM with DBM,ent_017932,0.6,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Autologous pancreatic islets,ent_017933,0.9,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Autologous peripheral blood differentiated adult dendritic cells,ent_017908,1,manual,cell therapy; abstained with no candidate,human,2026-08-21T06:58:44Z,manual,substance-registry-v1
Autologous peripheral blood stem adult cells not expanded CD 133+,ent_017870,0.85,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous serum,ent_017938,0.95,exact,Exact match: Autologous serum,model,2026-08-21T06:09:24Z,claude-sonnet-5,substance-assign-v2
Autologous skin differentiated adult keratinocytes and fibroblasts cell-sheet expanded in a fibrin-agarose biological matrix,ent_017941,0.8,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous skin differentiated adult keratinocytes and fibroblasts cell-sheet expanded in a fibrin-hialuronic acid biological matrix,ent_017942,0.8,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous stem cells,ent_017944,0.7,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous stromal vascular fraction for diabetic foot ulcers treatment,ent_001327,0.85,token_idf,"Both refer to autologous stromal vascular fraction (adipose-derived), same substance.",model,2026-08-18T09:19:06Z,claude-sonnet-5,substance-assign-v2
Autologous stromal vascular fraction for scars and cutis laxa syndrome treatment.,ent_001327,0.9,token_idf,Autologous stromal vascular fraction matches autologous adipose-derived stromal vascular fraction.,model,2026-08-18T09:19:02Z,claude-sonnet-5,substance-assign-v2
"Autologous tumor antigen peptide-, and KLH-loaded blood-derived natural dendritic cel",ent_017948,0.75,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Autologous tumour lysate pulsed autologous dendritic cells,ent_017950,0.8,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autologous uncoupled red blood cells (RBCs),ent_002172,0.6,token_idf,"Autologous uncoupled red blood cells match generic 'Blood cells, red' entry, without radiolabeling like technetium.",model,2026-08-18T09:19:11Z,claude-sonnet-5,substance-assign-v2
Autologous urothelial and smooth muscle cells,ent_017951,0.9,mint,Cell therapy product composed of autologous urothelial and smooth muscle cells.,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
"Autologous, tumor lysate-loaded, mature dendritic cells vaccine",ent_017950,0.8,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Autovaccine,ent_017888,0.5,mint,Autovaccine refers to an autologous vaccine prepared from the patient's own bacterial isolates; too vague to identify exact antigen.,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Avacincaptad pegol,ent_001341,1,registry,exact registry match: 'avacincaptad pegol',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Avacopan,ent_001343,1,registry,exact registry match: 'avacopan',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Avagacestat,ent_001345,1,registry,exact registry match: 'avagacestat',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Avalglucosidase Alfa,ent_001346,1,registry,exact registry match: 'avalglucosidase alfa',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Avalotcagene ontaparvovec,ent_001347,1,registry,exact registry match: 'avalotcagene ontaparvovec',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Avalox® 400 mg Filmtabletten,ent_010424,0.95,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Avandia,ent_013818,0.9,exact,Avandia is the brand name for rosiglitazone; canonical INN chosen over salt form.,model,2026-08-18T09:19:15Z,claude-sonnet-5,substance-assign-v2
Avapritinib,ent_001350,1,registry,exact registry match: 'avapritinib',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Avapritinib Placebo Tablets,ent_017273,1,placebo,placebo rule,registry,2026-08-18T07:01:59Z,rule,substance-registry-v1
Avastin,ent_001974,1,registry,exact registry match: 'avastin',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Avastin  bevacizumab,ent_001974,1,registry,exact registry match: 'avastin',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Avastin 25 mg,ent_001974,1,registry,exact registry match: 'avastin',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Avastin Bevacizumab,ent_001974,1,registry,exact registry match: 'avastin',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Avatrombopag maleate,ent_001353,1,registry,exact registry match: 'avatrombopag maleate',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Avatrombopag proposed,ent_001353,1,registry,exact registry match: 'avatrombopag',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Avdoralimab,ent_001355,1,registry,exact registry match: 'avdoralimab',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Avelox,ent_010424,0.9,exact,"Avelox is the brand name for moxifloxacin (hydrochloride salt), and the base INN entry is preferred over the salt.",model,2026-08-18T09:19:04Z,claude-sonnet-5,substance-assign-v2
Avelox 400 mg comprimidos revestidos por película,ent_010424,0.98,token_idf,Avelox is a brand name for moxifloxacin.,model,2026-08-18T09:19:06Z,claude-sonnet-5,substance-assign-v2
Avelox 400 mg Filmtabletten,ent_010424,0.9,token_idf,Avelox is a brand name for moxifloxacin; INN parent chosen over salt form.,model,2026-08-18T09:19:05Z,claude-sonnet-5,substance-assign-v2
Avelox- Moxifloxacin,ent_010424,0.98,token_idf,"Avelox is a brand name for moxifloxacin, matching entry 1 (parent INN, preferred over the salt form).",model,2026-08-18T09:19:13Z,claude-sonnet-5,substance-assign-v2
Avelumab,ent_001360,1,registry,exact registry match: 'avelumab',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Avibactam,ent_001371,1,registry,exact registry match: 'avibactam',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Avibactam 600 mg Powder for Concentrate for Solution for Infusion,ent_001371,1,registry,exact registry match: 'avibactam',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Avibactam sodium,ent_001371,1,registry,exact registry match: 'avibactam sodium',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Avipendekin pegol,ent_017954,0.6,mint,"INN-like name for a pegylated biologic (interleukin-related), kept as its own INN canonical.",model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Aviptadil,ent_001380,1,registry,exact registry match: 'aviptadil',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
"Aviptadil, 66 microgram",ent_001380,1,registry,exact registry match: 'aviptadil',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Aviscumine,ent_001381,1,registry,exact registry match: 'aviscumine',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Avlocardyl,ent_012977,1,registry,exact registry match: 'avlocardyl',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
"Avodart 0,5 mg zachte capsules",ent_005096,1,registry,exact registry match: 'avodart',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Avonex,ent_008108,0.97,exact,Avonex is a brand name for interferon beta-1a.,model,2026-08-18T09:19:09Z,claude-sonnet-5,substance-assign-v2
Avosentan,ent_001393,1,registry,exact registry match: 'avosentan',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Avotermin,ent_001395,1,registry,exact registry match: 'avotermin',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Avtozma 20 mg,ent_015866,1,registry,exact registry match: 'avtozma',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Awiqli 700 units,ent_008076,1,registry,exact registry match: 'awiqli',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Ax-40 KLH,ent_017956,0.5,mint,"Different code/conjugate, distinct from AX-8",model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Axalimogene filolisbac formerly known as Lovaxin-C,ent_017957,0.85,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Axatilimab (INCA034176),ent_001404,1,registry,exact registry match: 'axatilimab',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Axitinib,ent_001407,1,registry,exact registry match: 'axitinib',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Axomadol hydrochloride,ent_001410,1,registry,exact registry match: 'axomadol',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
"Axumin 1,600 MBq",ent_006457,0.85,token_idf,"Axumin is the brand name for fluciclovine (18F), a PET radiopharmaceutical.",model,2026-08-18T09:19:10Z,claude-sonnet-5,substance-assign-v2
"Axumin 3,200 MBq",ent_006457,0.85,token_idf,"Axumin is the brand name for fluciclovine (18F), a radiopharmaceutical PET imaging agent.",model,2026-08-18T09:19:08Z,claude-sonnet-5,substance-assign-v2
Aybintio 25 mg,ent_001974,1,registry,exact registry match: 'aybintio',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Azacididine,ent_001416,0.9,mint,Misspelling of azacitidine,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Azacitidin,ent_001416,0.98,token_idf,"Azacitidin is the German/local spelling of azacitidine, the same INN substance.",model,2026-08-18T15:59:37Z,claude-sonnet-5,substance-assign-v2
Azacitidin STADA 25 mg,ent_001416,0.95,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
Azacitidin Zentiva 25 mg,ent_001416,0.99,token_idf,Azacitidin Zentiva is a brand of azacitidine.,model,2026-08-18T09:19:13Z,claude-sonnet-5,substance-assign-v2
Azacitidina Zentiva 25 mg,ent_001416,1,registry,exact registry match: 'azacitidina',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Azacitidine,ent_001416,1,registry,exact registry match: 'azacitidine',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
"Azacitidine 150mg tablet, Azacitidine 200mg tablet: film- coated tablet",ent_001416,1,registry,exact registry match: 'azacitidine',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
"Azacitidine 200 mg tablet,  Azacitidine 300 mg tablet - describe tablets",ent_001416,1,registry,exact registry match: 'azacitidine',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Azacitidine 25 mg,ent_001416,1,registry,exact registry match: 'azacitidine',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Azacitidine Accord 25 mg,ent_001416,1,registry,exact registry match: 'azacitidine accord',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Azacitidine Kabi 25 mg,ent_001416,1,registry,exact registry match: 'azacitidine kabi',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Azacitidine Mylan 25 mg,ent_001416,1,registry,exact registry match: 'azacitidine mylan',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Azacitidine Seacross 25 mg,ent_001416,1,registry,exact registry match: 'azacitidine',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Azacitidine Vidaza,ent_001416,1,registry,exact registry match: 'azacitidine',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Azacitidine betapharm 25 mg,ent_001416,1,registry,exact registry match: 'azacitidine betapharm',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
"Azacitidine, Cedazuridine",ent_001416,1,registry,exact registry match: 'azacitidine',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Azactam 1 g Powder for Solution for Injection or Infusion,ent_001557,1,registry,exact registry match: 'azactam',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Azactam 1g polvo para solución inyectable,ent_001557,1,registry,exact registry match: 'azactam',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Azacytidine,ent_001416,0.9,mint,Azacytidine is alternate spelling of azacitidine INN,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Azathioprine,ent_001442,1,registry,exact registry match: 'azathioprine',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Azathioprine 25 mg film-coated tablets,ent_001442,1,registry,exact registry match: 'azathioprine',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Azathioprine 50 mg film-coated tablets,ent_001442,1,registry,exact registry match: 'azathioprine',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Azathioprine Tablets 50mg Oprisine,ent_001442,1,registry,exact registry match: 'azathioprine',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Azathioprinum,ent_001442,1,registry,exact registry match: 'azathioprinum',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Azatioprina,ent_001442,1,registry,exact registry match: 'azatioprina',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Azd4604 placebo,ent_017273,1,placebo,placebo rule,registry,2026-08-18T07:01:59Z,rule,substance-registry-v1
Azelaic Acid AZA 15 gel,ent_001517,0.98,token_idf,Azelaic Acid AZA 15 gel directly names azelaic acid as the active substance.,model,2026-08-18T09:19:08Z,claude-sonnet-5,substance-assign-v2
Azelainacid Schering 20 Creme,ent_001517,0.9,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Azelainsaeure 15,ent_001517,0.85,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
"Azelastin COMOD 0,5 mg",ent_001519,0.9,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Azelastine hydrochloride,ent_001519,1,registry,exact registry match: 'azelastine hydrochloride',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Azelastine hydrochloride and fluticasone propionate,ent_001519,1,registry,exact registry match: 'azelastine',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Azelastinhydrochlorid,ent_001519,0.95,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Azeliragon,ent_001521,1,registry,exact registry match: 'azeliragon',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Azenosertib (also known as ZN-c3; KP-2638),ent_001525,1,registry,exact registry match: 'azenosertib',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
Azepo,ent_017958,0.3,mint,Unidentifiable brand/code name with no further data available,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
Azilect,ent_013311,0.9,exact,"Azilect is the brand name for rasagiline (mesylate salt), matching parent INN Rasagiline.",model,2026-08-18T09:19:14Z,claude-sonnet-5,substance-assign-v2
